127.0.0.1 - - [25/May/2017:12:46:06 +0200] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:10 +0200] "GET /webapp/pricespage/prices.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:10 +0200] "GET /webapp/pricespage/pricesstyle.css HTTP/1.1" 200 3326
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:10 +0200] "GET /webapp/pricespage/img/videoframe.jpg HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:11 +0200] "GET /webapp/video/Big-Apple.webm HTTP/1.1" 200 7857994
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:11 +0200] "GET /webapp/pricespage/img/videoframe.jpg HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:11 +0200] "GET /webapp/video/Big-Apple.webm HTTP/1.1" 206 561
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:11 +0200] "GET /webapp/video/Big-Apple.webm HTTP/1.1" 206 3663690
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:12 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:53 +0200] "GET /webapp/CenovnikServlet HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:53 +0200] "GET /webapp/img/videoframe.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:53 +0200] "GET /webapp/pricesstyle.css HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:53 +0200] "GET /video/Big-Apple.webm HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:53 +0200] "GET /video/Big-Apple.mp4 HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:53 +0200] "GET /webapp/img/videoframe.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2017:12:46:57 +0200] "GET /pricespage/prices.jsp HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [25/May/2017:12:47:03 +0200] "GET /webapp/video/Big-Apple.webm HTTP/1.1" 200 7857994
0:0:0:0:0:0:0:1 - - [25/May/2017:12:47:03 +0200] "GET /webapp/pricespage/img/videoframe.jpg HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [25/May/2017:12:47:03 +0200] "GET /webapp/pricespage/prices.jsp HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [25/May/2017:12:47:03 +0200] "GET /webapp/pricespage/pricesstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:12:47:03 +0200] "GET /webapp/video/Big-Apple.webm HTTP/1.1" 200 7857994
